date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor,vol
2018-04-04,286.94,288.37,252.0,252.78,19896746,286.94,288.37,252.0,252.78,19896746,0.0,1.0,1
2018-04-05,305.72,306.26,288.2,289.34,19121101,305.72,306.26,288.2,289.34,19121101,0.0,1.0,1
2018-04-06,299.3,309.28,295.5,301.0,13520286,299.3,309.28,295.5,301.0,13520286,0.0,1.0,0
2018-04-09,289.66,309.5,289.21,300.37,10249805,289.66,309.5,289.21,300.37,10249805,0.0,1.0,1
2018-04-10,304.7,307.1,293.68,298.97,11024259,304.7,307.1,293.68,298.97,11024259,0.0,1.0,0
2018-04-11,300.93,308.98,299.66,300.7403,7482945,300.93,308.98,299.66,300.7403,7482945,0.0,1.0,0
2018-04-12,294.08,303.95,293.68,302.32,7608769,294.08,303.95,293.68,302.32,7608769,0.0,1.0,0
2018-04-13,300.34,303.9499,295.98,303.6,7327223,300.34,303.9499,295.98,303.6,7327223,0.0,1.0,0
2018-04-16,291.21,299.66,289.01,299.0,6338488,291.21,299.66,289.01,299.0,6338488,0.0,1.0,0
2018-04-17,287.69,292.17,282.51,288.87,7000023,287.69,292.17,282.51,288.87,7000023,0.0,1.0,0
2018-04-18,293.35,300.24,288.16,291.08,6557700,293.35,300.24,288.16,291.08,6557700,0.0,1.0,0
2018-04-19,300.08,301.01,288.55,291.08,6090599,300.08,301.01,288.55,291.08,6090599,0.0,1.0,1
2018-04-20,290.24,299.98,289.75,295.17,5627928,290.24,299.98,289.75,295.17,5627928,0.0,1.0,0
2018-04-23,283.37,291.62,282.33,291.29,4893378,283.37,291.62,282.33,291.29,4893378,0.0,1.0,0
2018-04-24,283.46,287.09,278.46,285.0,5685308,283.46,287.09,278.46,285.0,5685308,0.0,1.0,0
2018-04-25,280.69,285.16,277.25,283.5,4013574,280.69,285.16,277.25,283.5,4013574,0.0,1.0,0
2018-04-26,285.48,285.79,276.5,278.75,4356013,285.48,285.79,276.5,278.75,4356013,0.0,1.0,0
2018-04-27,294.075,294.47,283.83,285.37,4364626,294.075,294.47,283.83,285.37,4364626,0.0,1.0,1
2018-04-30,293.9,298.73,292.5,293.61,4228172,293.9,298.73,292.5,293.61,4228172,0.0,1.0,0
2018-05-01,299.92,300.82,293.22,293.51,4625603,299.92,300.82,293.22,293.51,4625603,0.0,1.0,0
2018-05-02,301.15,306.85,297.7844,298.57,8970370,301.15,306.85,297.7844,298.57,8970370,0.0,1.0,0
2018-05-03,284.45,288.04,275.23,278.79,17352130,284.45,288.04,275.23,278.79,17352130,0.0,1.0,0
2018-05-04,294.09,296.86,279.52,283.0,8569354,294.09,296.86,279.52,283.0,8569354,0.0,1.0,1
2018-05-07,302.77,305.9588,295.17,297.5,8678224,302.77,305.9588,295.17,297.5,8678224,0.0,1.0,0
2018-05-08,301.97,307.75,299.0,300.7953,5930000,301.97,307.75,299.0,300.7953,5930000,0.0,1.0,0
2018-05-09,306.85,307.01,300.05,300.41,5727365,306.85,307.01,300.05,300.41,5727365,0.0,1.0,0
2018-05-10,305.02,312.99,304.1119,307.4997,5651561,305.02,312.99,304.1119,307.4997,5651561,0.0,1.0,0
2018-05-11,301.06,308.88,299.08,307.7,4679649,301.06,308.88,299.08,307.7,4679649,0.0,1.0,0
2018-05-14,291.97,304.94,291.62,303.32,7286804,291.97,304.94,291.62,303.32,7286804,0.0,1.0,1
2018-05-15,284.18,286.96,280.5,285.01,9519173,284.18,286.96,280.5,285.01,9519173,0.0,1.0,0
2018-05-16,286.48,288.81,281.56,283.83,5674019,286.48,288.81,281.56,283.83,5674019,0.0,1.0,0
2018-05-17,284.54,289.1873,283.97,285.9,4420612,284.54,289.1873,283.97,285.9,4420612,0.0,1.0,0
2018-05-18,276.82,284.65,274.0,284.65,7251887,276.82,284.65,274.0,284.65,7251887,0.0,1.0,0
2018-05-21,284.49,291.49,281.3,281.33,9182571,284.49,291.49,281.3,281.33,9182571,0.0,1.0,0
2018-05-22,275.01,288.0,273.422,287.762,8945756,275.01,288.0,273.422,287.762,8945756,0.0,1.0,1
2018-05-23,279.07,279.9099,274.0,277.76,5985053,279.07,279.9099,274.0,277.76,5985053,0.0,1.0,0
2018-05-24,277.85,281.11,274.89,278.4,4176708,277.85,281.11,274.89,278.4,4176708,0.0,1.0,0
2018-05-25,278.85,279.64,275.61,277.6252,3875082,278.85,279.64,275.61,277.6252,3875082,0.0,1.0,0
2018-05-29,283.76,286.5,276.15,278.51,5666640,283.76,286.5,276.15,278.51,5666640,0.0,1.0,0
2018-05-30,291.72,295.005,281.6,283.29,7489686,291.72,295.005,281.6,283.29,7489686,0.0,1.0,0
2018-05-31,284.73,290.37,282.93,287.21,5919721,284.73,290.37,282.93,287.21,5919721,0.0,1.0,0
2018-06-01,291.82,291.95,283.839,285.86,5424386,291.82,291.95,283.839,285.86,5424386,0.0,1.0,0
2018-06-04,296.74,299.0,293.548,294.34,4797810,296.74,299.0,293.548,294.34,4797810,0.0,1.0,0
2018-06-05,291.13,297.8,286.74,297.7,5995157,291.13,297.8,286.74,297.7,5995157,0.0,1.0,0
2018-06-06,319.5,322.17,297.48,300.5,18767269,319.5,322.17,297.48,300.5,18767269,0.0,1.0,1
2018-06-07,316.09,330.0,313.58,316.15,14345271,316.09,330.0,313.58,316.15,14345271,0.0,1.0,0
2018-06-08,317.66,324.48,317.15,319.0,8205202,317.66,324.48,317.15,319.0,8205202,0.0,1.0,0
2018-06-11,332.1,334.66,322.5,322.51,13183473,332.1,334.66,322.5,322.51,13183473,0.0,1.0,0
2018-06-12,342.77,354.97,338.0,344.7,22347403,342.77,354.97,338.0,344.7,22347403,0.0,1.0,0
2018-06-13,344.78,347.2,339.8,346.706,9469804,344.78,347.2,339.8,346.706,9469804,0.0,1.0,0
2018-06-14,357.72,358.75,346.6,347.63,10981023,357.72,358.75,346.6,347.63,10981023,0.0,1.0,0
2018-06-15,358.17,364.67,351.25,353.84,10848254,358.17,364.67,351.25,353.84,10848254,0.0,1.0,0
2018-06-18,370.83,373.73,354.5,355.4,12073226,370.83,373.73,354.5,355.4,12073226,0.0,1.0,1
2018-06-19,352.55,370.0,346.25,365.16,12761903,352.55,370.0,346.25,365.16,12761903,0.0,1.0,1
2018-06-20,362.22,364.38,352.0,358.04,8383656,362.22,364.38,352.0,358.04,8383656,0.0,1.0,0
2018-06-21,347.51,366.2139,346.27,362.0,7967145,347.51,366.2139,346.27,362.0,7967145,0.0,1.0,1
2018-06-22,333.63,352.25,332.0,351.54,10266059,333.63,352.25,332.0,351.54,10266059,0.0,1.0,1
2018-06-25,333.01,338.47,327.5,330.12,6931304,333.01,338.47,327.5,330.12,6931304,0.0,1.0,0
2018-06-26,342.0,343.55,325.799,336.054,7452487,342.0,343.55,325.799,336.054,7452487,0.0,1.0,0
2018-06-27,344.5,350.79,339.5,345.0,8333727,344.5,350.79,339.5,345.0,8333727,0.0,1.0,0
2018-06-28,349.93,357.02,346.11,348.66,8398005,349.93,357.02,346.11,348.66,8398005,0.0,1.0,0
2018-06-29,342.95,353.86,342.41,353.33,6492396,342.95,353.86,342.41,353.33,6492396,0.0,1.0,0
2018-07-02,335.07,364.78,329.85,360.07,18759765,335.07,364.78,329.85,360.07,18759765,0.0,1.0,1
2018-07-03,310.86,332.49,309.69,331.75,12282638,310.86,332.49,309.69,331.75,12282638,0.0,1.0,1
2018-07-05,309.16,314.39,296.22,313.76,17476374,309.16,314.39,296.22,313.76,17476374,0.0,1.0,0
2018-07-06,308.9,312.07,302.0,304.9545,8865451,308.9,312.07,302.0,304.9545,8865451,0.0,1.0,0
2018-07-09,318.51,318.52,308.0,311.99,7596753,318.51,318.52,308.0,311.99,7596753,0.0,1.0,0
2018-07-10,322.47,327.6771,319.2,324.56,9471498,322.47,327.6771,319.2,324.56,9471498,0.0,1.0,0
2018-07-11,318.96,321.94,315.07,315.8,4884076,318.96,321.94,315.07,315.8,4884076,0.0,1.0,0
2018-07-12,316.71,323.23,312.77,321.43,5721166,316.71,323.23,312.77,321.43,5721166,0.0,1.0,0
2018-07-13,318.87,319.5849,309.25,315.58,5875770,318.87,319.5849,309.25,315.58,5875770,0.0,1.0,0
2018-07-16,310.1,315.16,306.25,311.71,7818655,310.1,315.16,306.25,311.71,7818655,0.0,1.0,0
